accuracy,precision,recall,f1
0.9965915049816466,0.9886506935687264,0.978776529338327,0.9836888331242158
0.9965915049816466,0.9939831528279182,0.9752066115702479,0.9845053635280095
0.997115888830624,0.9949874686716792,0.9778325123152709,0.986335403726708
0.9961982170949135,0.9855595667870036,0.9796650717703349,0.9826034793041392
0.9968536969061353,0.9923371647509579,0.9773584905660377,0.9847908745247148
0.9973780807551127,0.9879679144385026,0.9853333333333333,0.986648865153538
0.9960671211326692,0.9851851851851852,0.9779411764705882,0.981549815498155
0.9959360251704248,0.9900249376558603,0.9718482252141983,0.980852378011118
0.9972469847928683,0.9929078014184397,0.9824561403508771,0.9876543209876543
0.9961982170949135,0.989821882951654,0.9737171464330413,0.9817034700315458
0.9963293130571579,0.9936386768447837,0.9713930348258707,0.9823899371069182
